Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
MNG,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303200,328200,346800,370000,349700,331200,373100,325100,302400,260000,258000,215400,211200,212900,214600,225100,224800,240400,231600,238600,247800,278100,296700
NAC,,103725258.696563,105124661.696698,109996216.490604,116124143.315438,120937385.483438,126259937.927807,133413586.843011,139644836.039309,146657054.331814,153409816.446608,160598272.898375,163761957.90261,171805199.433296,177535640.194051,172595870.630213,167926159.539707,178551860.227027,183240275.367353,187077206.143436,187578214.622291,180563295.745053,174371955.189815,165731684.389756,164425101.487121,170585135.263784,171245678.285219,169737451.722498,176377289.386778,182806481.44186,185955563.284204,180935476.329965,180515685.436422,184124366.791711,188987919.853076,192447768.983063,194093325.280556,199162422.846621,203607985.404264,204558691.252044,209286314.881831,215550471.203211,212565324.856345,214826714.494687,215610584.218942,219497225.758448,220579360.063248,217600615.102416,220628570.718388
NOC,,0,0,0,0,0,0,0,0,0,0,0,5122591.79960771,5674265.08101948,6427291.66181241,6379001.62885355,6227055.61255112,7295519.14385425,8167346.65406011,9751234.90733031,11194846.2011056,13201179.1385891,14394029.8499046,15507804.0805136,16741620.6295576,16493591.1029462,17007277.8802824,18387702.472834,19324206.3510901,21648086.6004214,22630894.2892011,21345863.4476585,23001401.2486477,24726132.1788235,26352821.4337882,27862164.3474055,28076684.7385197,29612056.4154672,30743765.3544336,32522397.5153393,33464204.9351749,34724105.5335432,36055910.5906115,38424419.6004907,39817175.3450241,42595854.2837169,44698761.4544461,46255932.2206829,48884078.144782
OEC,,177924504.386664,182510776.106726,192813249.582612,205382093.610385,215074958.774494,224751661.099821,235603348.969819,248055304.198676,263510828.68326,280944736.705572,306363550.618164,312827076.240428,327651108.648745,345254384.289066,337845071.628908,327492801.127856,348412624.337366,354169170.432189,362066422.718718,370100254.042877,357717521.866564,343571978.870989,331487137.190973,328548885.519265,337802415.712463,340663566.314541,341209481.940022,350339650.421813,359917205.369975,365148062.353685,361807400,363451600,366699200,371601000,377972700,384627800,396442500,401025200,400570300,407077200,416341800,415389000,418554700,423673300,429560300,430241300,426963100,429482200
SAS,,0,0,0,0,0,0,0,0,0,0,0,6658395.31138287,6851308.97141092,7097871.38582218,7629820.97110614,8013328.89012702,8480032.71585101,8819068.64110689,8872616.55196673,9633581.77861184,10136387.5856688,11179210.459872,12084886.142419,12704166.2188605,13541772.5231957,14784971.4781495,15599988.8332708,16871827.348835,18247938.0674673,19672251.9902257,20856558.3275859,22024830.5447451,23434421.3131052,24454050.1769547,25773688.522552,28031171.6346216,29511756.2433683,31022493.0655748,31804030.3709684,34448046.707757,35293619.6504312,35876495.2149698,37077339.8901474,38425516.952832,41457982.5412821,43104152.215249,45766219.5427042,49479076.3827014
SRB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753800,1468000,1324400,1111400,1012700,1183400,1399500,1519000,1503700,1020700,1121900,1231800,1322300,1423600,1569300,1336000,1404600,1409500
SSA,,0,0,0,0,0,0,0,0,0,0,0,6375990.8582455,6548534.60852511,7076848.2449801,7312557.40586005,7549427.69561126,7932948.56181149,8151473.01539571,8663414.73476497,8910735.18435817,9510922.6979485,10407868.2539858,11261992.5391987,11376176.56595,11914241.3161228,12010956.4593488,12364614.584758,12965729.2787802,13372141.1186763,12895043.9288865,12837778.3835553,13484832.346084,12990887.7461434,13648549.3528971,13718388.5053288,14495708.6269572,14710518.6724102,14911291.8536182,14821547.9674622,15316750.1290206,15482661.262145,15472306.1983578,15275790.0989289,16897508.1442742,18448236.4745448,18777527.5029788,18978760.9092441,19812228.4878522
SSF,,0,0,0,0,0,0,0,0,0,0,0,6382526.94293267,6555247.56933854,7084102.7847804,7320053.57320833,7557166.68079101,7941080.69762721,8159829.16256382,8672295.67792273,8919869.65789882,9520672.42902388,10418537.451893,11273537.3074738,11387838.385282,11926454.7103946,12023268.9971704,12377289.6606555,12979020.5626733,13385849.0189452,12908262.7526015,12850938.5038528,13498655.767128,13004204.8202042,13662540.6016945,13732451.3468597,14510568.3062279,14725598.5553606,14926577.5509345,14836741.6675261,15332451.4652053,15498532.6753013,15488166.9964465,15291449.446624,16914829.9294976,18467147.925111,18796776.5126942,18998216.205106,19832538.1787092
UMC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163753317.988813,163141178.618389,153930579.288014,149744765.104696,142765796.393389,141744907.755399,143430684.900214,142509243.25146,143921993.207644,144525706.748362,149053558.303751,150208449.248449,151152291.582658,157457230.700251,162434602.737289,167340553.754785,174105058.504456,180009798.829001
WLD,,0,0,0,0,0,0,0,0,0,0,0,465828014.157513,488971832.536571,517431523.97351,512758103.763871,508572220.413782,541340952.199642,558865853.724478,580049099.958733,597129375.62558,588261829.274591,575293055.255632,568826359.270416,570287198.680214,589716617.353293,599615722.345695,608524160.345565,630037763.126073,652679427.244322,666377643.72711,692951129.33878,696252160.75336,692291891.325979,698461558.287446,702251743.521601,718461121.585134,738629609.341979,745858095.018481,748497796.367573,761645265.270092,778695019.325236,781811341.790263,800511687.817099,833441947.076785,873634047.453632,897424313.163331,921029616.926481,948430207.214846
AGO,,0,0,0,0,0,0,0,0,0,0,0,60999.9999999998,88199.9999999999,82999.9999999998,88299.9999999998,73399.9999999997,68499.9999999998,57099.9999999997,90099.9999999998,89299.9999999997,91099.9999999998,88000,75299.9999999997,82099.9999999997,80299.9999999997,101300,100300,105400,118500,121600,149899.999999999,153599.999999999,145899.999999999,156600,152200,144800,153600,159399.999999999,147299.999999999,171900,182099.999999999,201700,222099.999999999,252799.999999999,296800,255500,304900,361400
ALB,,0,0,0,0,0,0,0,0,0,0,0,126800,148100,128500,135800,148700,164900,174200,200200,167700,246600,209200,208300,223100,238400,220000,223300,222300,233100,229500,203600,129800,75600,70500,77199.9999999999,65399.9999999999,63999.9999999999,49699.9999999999,57300,100200,102900,107500,126800,135500,128000,158700,142800,147300
ANT,,0,0,0,0,0,0,0,0,0,0,0,547000,533900,598100,557200,384200,423600,419800,371300,374100,392500,371600,410500,436900,301800,178400,169400,144600,131000,139100,145800,145300,151100,127700,130100,131400,134800,233600,267300,196700,198000,206200,201000,192900,203800,195000,191900,217500
ARE,,0,0,0,0,0,0,0,0,0,0,0,101200,105100,130500,134100,193700,246100,409900,475600,550900,715400,867700,942100,894599.999999999,1171400,1334500,1512700,1682200,1733800,2001000,1987600,2287700,2162200,2293800,2556100,2722700,3069500,3022800,3134800,3212700,3367600,3368100,3801900,4007300,4216500,4309500,4536300,5161900
ARG,,0,0,0,0,0,0,0,0,0,0,0,3126100,3189700,3324400,3323100,3294700,3426000,3529300,3537900,3756400,3775400,3676100,3714800,3726400,3832900,3603000,3881100,4079300,4316400,4249900,4084700,4219600,4436600,4376699.99999999,4651100,4696000,4870400,5095300,5217500,5328500,5380600,4963500,4730699.99999999,5053100,5537699.99999999,5579900,6028100,6535800
ARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748000,784100,383000,179900,106100,138500,102600,131500,136700,119600,141100,142800,116000,130200,140200,171000,172600,201200
AUS,,2704600,2817200,2967600,3133200,3290600,3472300,3687400,3899700,4072400,4198600,4651700,4706000,4854800,5254800,5411200,5541500,5681000,6143999.99999999,6158999.99999999,6310100,6485800,6501499.99999999,6794600,6509900,6739200,6766000,6913999.99999999,7263699.99999999,7387799.99999999,7886899.99999999,8096700,7977999.99999999,8182299.99999999,8549800,8570599.99999999,8684100,9267299.99999999,9471900,9757400,9974400,10236100,10057700,10380500,10493700,10532500,11413100,11607400,11709300
AUT,,931000,953800,1044400,1150100,1193800,1184600,1218900,1242800,1342500,1453100,1606900,1697100,1786400,1928000,1839500,1778800,1943500,1867200,1916700,2061900,1988800,1841000,1773700,1772700,1827700,1870800,1848300,1913600,1815500,1830800,1961600,2086900,1958200,1972500,1982800,2083100,2218800,2208000,2251200,2195400,2179700,2316500,2369500,2539100,2540200,2594200,2539500,2409600
AZE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591199.99999999,2624400,1642200,1501500,1571800,1257500,1155300,1101900,1148600,1086600,1125500,1122100,1115000,1164000,1228700,1298600,1328000,1172300
BEL,,2304100,2361099.99999999,2593299.99999999,2828999.99999999,2834399.99999999,2946700,2905200,3043100,3449800,3740299.99999999,3985900,3969099.99999997,4347499.99999999,4600999.99999998,4507600,4058900,4302900,4206200,4438800,4605300,4364300,4006600,3727900,3456500,3532700,3490400,3521800,3568200,3594700,3672800,3664800,3871300,3894000,3803000,4109100,4166300,4411500,4322300,4460900,4426700,4449900,4425500,4216700,4489700,4436200,4401200,4305000,4166400
BEN,,0,0,0,0,0,0,0,0,0,0,0,9999.99999999999,13200,13500,14000,15300,9300,11100,12700,12800,13100,9799.99999999999,11900,11900,12500,15700,13600,11900,11800,8899.99999999999,7999.99999999998,6499.99999999999,6808.32,6800,6993.09,6999.99999999999,28699.9999999999,38700,38099.9999999999,48200,50499.9999999998,58899.9999999998,67299.9999999998,77599.9999999998,81800,83599.9999999998,101900,106000
BGD,,0,0,0,0,0,0,0,0,0,0,0,121500,121600,153800,166999.999999999,166000,196200,199899.999999999,213900,231799.999999999,270200,280400,316600,309599.999999999,328400,371299.999999999,416399.999999999,460000,509099.999999999,545300,579599.999999999,560999.999999999,613699.999999999,678999.999999999,715999.999999999,864799.999999999,896499.999999999,944899.999999998,1002400,1009600,1089900,1239500,1281300,1363600,1429000,1549000,1607000,1705300
BGR,,0,0,0,0,0,0,0,0,0,0,0,1855300,1889400,1976300,2037100,2182000,2224900,2365000,2485200,2582600,2593700,2493700,2581500,2602300,2614600,2624600,2681900,2655700,2638400,2583500,2409100,1813000,1703200,1806100,1697600,1820000,1778300,1600000,1523800,1363600,1351500,1428500,1343300,1449300,1391900,1450600,1481400,1574900
BHR,,0,0,0,0,0,0,0,0,0,0,0,140900,136800,203500,226999.999999998,213200,272000,250700,255900,302499.999999998,280900,310300,350100,337100,359800,415900,355400,351500,407700,416600,435000,404100,432400,465600,494800,493000,496400,541400,581400,565400,586400,606900,643300,675200,697000,750000,828200,877400
BIH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658299.999999999,592300,405600,335100,100400,105300,131300,232400,290800,285200,383000,367500,387400,391700,428500,446600,490200,512700
BLR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4039400,3873300,3662900,2988000,2531500,2302700,2336600,2338900,2266500,2228400,2251900,2248200,2313000,2381400,2495900,2471400,2628300,2567200
BOL,,0,0,0,0,0,0,0,0,0,0,0,76300,84799.9999999999,89599.9999999999,97499.9999999999,115700,125900,135400,152500,168500,161200,165500,173200,164000,164200,158600,150900,161900,162300,183100,191800,197600,212400,224800,257600,303500,351000,361100,396600,384900,404800,347900,327800,341000,399899.999999999,384200,384000,444800
BRA,,0,0,0,0,0,0,0,0,0,0,0,3031400,3401900,4046400,4364900,4755599.99999999,5194300,5355600,5930799.99999999,6301700,6240499.99999999,5758699.99999999,5797200,5662400,5735599.99999999,6229900,6757000,6947099.99999999,7114900,7206600,7122999.99999999,7367200,7548099.99999999,7819399.99999999,8234599.99999999,8725099.99999999,9476600,10092600,10456400,10749000,10992100,11181300,11199200,10847400,11481400,11721000,11912100,12394000
BRN,,0,0,0,0,0,0,0,0,0,0,0,16100,16200,33000,58000,72700,96399.9999999999,104400,97499.9999999999,101700,134200,129100,139000,147000,169400,177700,162500,166900,136200,157900,176000,199700,214700,207200,194100,231299.999999998,231900,239400,238300,242999.999999999,245300,227900,222400,257900,259600,253999.999999998,272600,276700
CAN,,6333799.99999999,6583700,6987600,7596900,8093700,8742299.99999999,9053799.99999999,9731400,10445000,10920900,11692000,11894900,12812100,13192400,13293100,13948000,14246200,14547800,14717800,15495000,15529500,14937800,14273200,13823600,14501000,14551600,14442000,14971200,15638100,16302100,15551800,15236900,15843100,16180700,16548000,16958900,17465200,18006900,18187300,18643500,19271800,19040200,18868800,20167200,20372600,20607100,20280300,20352800
CHE,,555700,591300,664800,847100,828900,905099.999999999,931599.999999999,985599.999999999,1078600,1176600,1296100,1357800,1379400,1492500,1350100,1291900,1344500,1356200,1395800,1350700,1370500,1293300,1227300,1336100,1316700,1342200,1424300,1344900,1362200,1304100,1424600,1451200,1459700,1393600,1406000,1346700,1379100,1430500,1439400,1414600,1359800,1488400,1410400,1398900,1409500,1440500,1460000,1325900
CHL,,0,0,0,0,0,0,0,0,0,0,0,689500,698900,669500,649600,567399.999999999,603300,622599.999999999,639099.999999999,682200,700799.999999999,712399.999999999,620000,624799.999999999,655699.999999999,640299.999999999,667899.999999999,681099.999999999,810700,967800,1038200,1001700,1097500,1154600,1278300,1377500,1558600,1793200,1893100,2049300,2018000,1939400,2008800,2057300,2253900,2278300,2326800,2393100
CHN,,0,0,0,0,0,0,0,0,0,0,0,23489100,25100000,26231100,26955100,31213100,32592000,36793300,41136099.9999999,41832800,41354899.9999999,40638200,42204600,44354800,48099400,49544099.9999999,51772500,55193200,58973500,60266100,65157899.9999999,64319099.9999999,67029999.9999999,71880799.9999999,75698999.9999999,82245000,85976200,86192099.9999999,85919699.9999999,85973700,86708400,85840100,94529499.9999999,110454600,131645200,144404100,159586500,169917200
CIV,,0,0,0,0,0,0,0,0,0,0,0,81599.9999999999,90100,93299.9999999997,98099.9999999998,106100,122700,123100,139000,130700,123100,110300,100300,89599.9999999998,92300,92199.9999999999,123300,123200,117100,118000,100700,102200,127400,136000,138200,122700,178900,187200,179599.999999999,283800,246600,219300,260800,212400,232100,245799.999999999,210699.999999999,226599.999999999
CMR,,0,0,0,0,0,0,0,0,0,0,0,24300,25400,26400,27400,34600,32299.9999999999,46400,48900,53099.9999999998,56899.9999999999,63499.9999999996,71299.9999999998,77399.9999999998,82299.9999999998,89199.9999999999,87099.9999999996,86699.9999999997,91099.9999999997,98099.9999999995,93099.9999999997,87399.9999999995,81799.9999999999,87599.9999999997,91999.9999999996,89000,88899.9999999999,94299.9999999996,98199.9999999995,87800,101000,99099.9999999995,103300,113200,117000,108199.999999999,113500,199500
COG,,0,0,0,0,0,0,0,0,0,0,0,19200,20300,21800,21900,22100,26600,23500,25200,25600,27000,27099.9999999999,30200,36399.9999999999,32000,34200,30899.9999999999,31000,27300,29299.9999999999,27900,28400,27900,27000,18899.9999999999,21900,19300,14900,14100,12400,21299.9999999999,27100,22300,33799.9999999999,35499.9999999999,47699.9999999999,44399.9999999999,48999.9999999999
COL,,0,0,0,0,0,0,0,0,0,0,0,879600,937799.999999999,980399.999999999,1063700,1030200,1087700,1120000,1162000,1107900,1257300,1286700,1317100,1378100,1416900,1422900,1473300,1521100,1564200,1556100,1632200,1670600,1773500,1843400,1876500,1918400,1976300,2080700,2219500,1889000,1962800,1973800,1891500,1911000,1956900,2058900,2159600,2078000
CRI,,0,0,0,0,0,0,0,0,0,0,0,46400,49899.9999999999,56399.9999999999,53399.9999999999,59799.9999999999,58299.9999999999,74200,80899.9999999999,82600,73699.9999999999,64500,61599.9999999999,58500,62699.9999999999,65799.9999999998,68400,74499.9999999999,75399.9999999999,90000,93399.9999999999,99599.9999999998,140100,132300,138400,144800,137600,139600,155100,161700,163200,169000,170400,195300,188500,178200,202400,224400
CUB,,0,0,0,0,0,0,0,0,0,0,0,724999.999999999,734999.999999999,841999.999999999,925100,943599.999999999,1007000,985599.999999999,1022200,1051800,1081400,1107100,1152800,1171200,1016100,1026300,1024300,1087000,1110500,1148100,1061000,826099.999999999,645100,630199.999999999,674799.999999999,723900,746899.999999999,786099.999999999,768599.999999999,788299.999999999,817500,795399.999999999,764800,775999.999999999,765800,788800,847300,859500
