what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1287875480462
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1287875480462
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1287875480463
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1287875480463
started,bundle,org.eclipse.update.ui,3.2.201.R35x_v20090813,"org.eclipse.update.ui",1287875480464
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1287875480465
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1287875480465
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1287875480465
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1287875480465
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1287875480466
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1287875480467
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1287875480467
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1287875480467
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1287875480468
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1287875480469
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1287875480469
started,bundle,com.python.pydev.analysis,1.5.4.2010011921,"com.python.pydev.analysis",1287875480469
started,bundle,org.python.pydev,1.5.4.2010011921,"org.python.pydev",1287875480469
started,bundle,org.python.pydev.core,1.5.4.2010011921,"org.python.pydev.core",1287875480470
started,bundle,org.eclipse.dltk.core,2.0.0.v20100119-1756,"org.eclipse.dltk.core",1287875480470
started,bundle,org.eclipse.dltk.core.index.sql,2.0.0.v20091110-1532,"org.eclipse.dltk.core.index.sql",1287875480470
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20091214-1712,"org.eclipse.dltk.core.index.sql.h2",1287875480470
started,bundle,org.eclipse.dltk.launching,2.0.0.v20091119-2107,"org.eclipse.dltk.launching",1287875480471
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100119-1756,"org.eclipse.dltk.ui",1287875480472
started,bundle,org.eclipse.php.core,2.2.0.v200912030932,"org.eclipse.php.core",1287875480473
