what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1287875394513
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1287875394519
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1287875394537
started,bundle,com.python.pydev.analysis,1.5.4.2010011921,"com.python.pydev.analysis",1287875394556
started,bundle,org.python.pydev,1.5.4.2010011921,"org.python.pydev",1287875394556
started,bundle,org.python.pydev.core,1.5.4.2010011921,"org.python.pydev.core",1287875394568
started,bundle,org.eclipse.dltk.core,2.0.0.v20100119-1756,"org.eclipse.dltk.core",1287875394584
started,bundle,org.eclipse.dltk.launching,2.0.0.v20091119-2107,"org.eclipse.dltk.launching",1287875394593
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100119-1756,"org.eclipse.dltk.ui",1287875394602
started,bundle,org.eclipse.php.core,2.2.0.v200912030932,"org.eclipse.php.core",1287875394624
started,bundle,org.eclipse.php.debug.core,2.2.0.v200912030932,"org.eclipse.php.debug.core",1287875394642
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v200912030932,"org.eclipse.php.debug.daemon",1287875394649
started,bundle,org.eclipse.php.debug.ui,2.2.0.v200912030932,"org.eclipse.php.debug.ui",1287875394664
started,bundle,org.eclipse.php.server.core,2.2.0.v200912030932,"org.eclipse.php.server.core",1287875394664
started,bundle,org.eclipse.php.ui,2.2.0.v200912030932,"org.eclipse.php.ui",1287875394674
started,bundle,com.aptana.ide.core,2.0.0.1256166109,"com.aptana.ide.core",1287875394676
started,bundle,com.aptana.ide.core.io,2.0.2.1257900571,"com.aptana.ide.core.io",1287875394676
started,bundle,com.aptana.ide.core.ui,2.0.2.1257900571,"com.aptana.ide.core.ui",1287875394676
started,bundle,com.aptana.ide.debug.core,2.0.0.1256168103,"com.aptana.ide.debug.core",1287875394683
started,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui",1287875394700
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,2.0.0.1253913567,"com.aptana.ide.desktop.integration.protocolhandler",1287875394711
started,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1253913567,"com.aptana.ide.desktop.integration.server",1287875394711
started,bundle,com.aptana.ide.editor.xml,2.0.0.1253913567,"com.aptana.ide.editor.xml",1287875394723
started,bundle,com.aptana.ide.editors,2.0.0.1256761519,"com.aptana.ide.editors",1287875394723
started,bundle,com.aptana.ide.epl,2.0.0.1256160806,"com.aptana.ide.epl",1287875394737
