1964.6250	 40.91	   6.10
1964.7083	 39.37	   6.09
1964.7917	 37.37	   6.09
1964.8750	 38.85	   6.10
1964.9583	 41.14	   6.22
1965.0417	 44.56	   6.18
1965.1250	 47.40	   6.18
1965.2083	 45.30	   6.18
1965.2917	 42.27	   6.15
1965.3750	 39.65	   6.12
1965.4583	 41.08	   6.10
1965.5417	 43.43	   6.01
1965.6250	 45.53	   6.00
1965.7083	 48.75	   5.97
1965.7917	 48.12	   5.97
1965.8750	 48.80	   5.97
1965.9583	 47.05	   6.05
1966.0417	 45.99	   5.97
1966.1250	 43.14	   5.95
1966.2083	 41.74	   5.93
1966.2917	 39.39	   5.95
1966.3750	 39.00	   5.98
1966.4583	 37.25	   5.96
1966.5417	 38.51	   5.93
1966.6250	 37.26	   5.90
1966.7083	 37.31	   5.94
1966.7917	 35.54	   5.94
1966.8750	 33.50	   5.91
1966.9583	 35.40	   5.92
1967.0417	 34.37	   5.91
1967.1250	 34.18	   5.90
1967.2083	 32.09	   5.87
1967.2917	 34.09	   5.87
1967.3750	 35.44	   5.86
1967.4583	 39.36	   5.90
1967.5417	 38.78	   5.87
1967.6250	 39.81	   5.87
1967.7083	 40.00	   5.84
1967.7917	 41.34	   5.84
1967.8750	 42.89	   5.84
1967.9583	 44.60	   5.98
1968.0417	 45.51	   5.98
1968.1250	 42.25	   5.98
1968.2083	 35.10	   5.98
1968.2917	 29.86	   6.03
1968.3750	 27.85	   6.07
1968.4583	 30.00	   6.07
1968.5417	 34.11	   6.07
1968.6250	 40.79	   6.03
1968.7083	 43.88	   6.00
1968.7917	 47.09	   5.96
1968.8750	 47.51	   5.96
1968.9583	 47.13	   6.16
1969.0417	 49.53	   6.14
1969.1250	 48.99	   6.18
1969.2083	 50.49	   6.20
1969.2917	 49.46	   6.20
1969.3750	 47.91	   6.20
1969.4583	 46.89	   6.17
1969.5417	 44.38	   6.13
1969.6250	 46.57	   6.13
1969.7083	 48.23	   6.12
1969.7917	 50.35	   6.07
1969.8750	 50.64	   6.07
1969.9583	 49.59	   6.24
1970.0417	 50.78	   6.22
1970.1250	 50.39	   6.16
1970.2083	 48.00	   6.16
1970.2917	 43.24	   6.10
1970.3750	 42.26	   6.11
1970.4583	 42.01	   6.11
1970.5417	 41.14	   6.13
1970.6250	 42.67	   6.13
1970.7083	 44.23	   6.13
1970.7917	 49.28	   6.13
1970.8750	 51.06	   6.13
1970.9583	 52.26	   6.13
1971.0417	 53.40	   6.08
1971.1250	 55.30	   6.06
1971.2083	 55.81	   6.06
1971.2917	 56.14	   6.04
1971.3750	 54.12	   6.04
1971.4583	 53.31	   6.04
1971.5417	 52.25	   6.04
1971.6250	 53.72	   6.04
1971.7083	 56.09	   6.04
1971.7917	 56.81	   6.04
1971.8750	 54.34	   6.04
1971.9583	 51.46	   6.07
1972.0417	 52.33	   6.05
1972.1250	 55.57	   6.05
1972.2083	 58.38	   6.30
1972.2917	 58.35	   6.30
1972.3750	 60.00	   6.10
1972.4583	 62.91	   6.09
1972.5417	 64.87	   6.06
1972.6250	 61.61	   6.06
1972.7083	 59.59	   6.08
1972.7917	 56.92	   6.04
1972.8750	 58.46	   6.04
1972.9583	 57.77	   6.08
1973.0417	 54.47	   5.98
1973.1250	 54.22	   5.99
1973.2083	 53.68	   5.97
1973.2917	 57.11	   6.01
1973.3750	 56.45	   5.99
1973.4583	 58.56	   5.99
1973.5417	 56.95	   6.00
1973.6250	 57.71	   5.99
1973.7083	 57.68	   5.99
1973.7917	 60.18	   5.99
1973.8750	 65.91	   5.94
1973.9583	 69.18	   5.95
1974.0417	 72.19	   5.94
1974.1250	 70.92	   5.88
1974.2083	 69.21	   5.87
1974.2917	 69.77	   5.89
1974.3750	 70.14	   5.89
1974.4583	 69.83	   5.89
1974.5417	 67.08	   5.87
1974.6250	 64.10	   5.87
1974.7083	 62.68	   5.88
1974.7917	 60.81	   5.88
1974.8750	 61.67	   5.88
1974.9583	 61.57	   5.98
1975.0417	 63.83	   5.96
1975.1250	 66.04	   5.96
1975.2083	 68.15	   5.94
1975.2917	 67.34	   5.90
1975.3750	 65.80	   5.86
1975.4583	 64.31	   5.81
1975.5417	 63.04	   5.76
1975.6250	 63.96	   5.77
1975.7083	 65.29	   5.79
1975.7917	 66.67	   5.85
1975.8750	 67.06	   5.85
1975.9583	 65.00	   5.85
1976.0417	 63.85	   5.81
1976.1250	 62.16	   5.83
1976.2083	 62.06	   5.82
1976.2917	 62.90	   5.82
1976.3750	 61.37	   5.84
1976.4583	 63.28	   5.84
1976.5417	 61.42	   5.86
1976.6250	 60.86	   5.86
1976.7083	 62.10	   5.84
1976.7917	 63.45	   5.82
1976.8750	 65.87	   5.82
1976.9583	 65.61	   5.77
1977.0417	 62.44	   5.76
1977.1250	 59.13	   5.77
1977.2083	 56.91	   5.79
1977.2917	 55.47	   5.80
1977.3750	 55.68	   5.77
1977.4583	 55.23	   5.76
1977.5417	 55.18	   5.73
1977.6250	 56.11	   5.75
1977.7083	 58.26	   5.70
1977.7917	 60.12	   5.70
1977.8750	 62.39	   5.71
1977.9583	 66.32	   5.73
1978.0417	 68.75	   5.72
1978.1250	 71.69	   5.79
1978.2083	 68.96	   5.79
1978.2917	 67.59	   5.79
