Year , Jan ,Feb ,Mar ,Apr ,May ,Jun ,Jul ,Aug ,Sep ,Oct ,Nov ,Dec 
1934 ,-5 ,2 ,-22 ,-22 , 18 ,1 , 14 , 13 ,3 ,8 , 18 , 20 
1935 , -19 , 32 , 14 ,-35 ,-19 , -6 ,-12 ,-14 ,-30 ,1 ,-19 , -7 
1936 , -19 ,-36 , -7 ,4 ,-21 , -6 , 32 ,7 ,6 , 10 , 11 , 18 
1937 , -1 , 14 ,-11 , -7 , 10 ,8 ,4 , 12 , 31 , 27 , 38 ,7 
1938 ,  9 ,8 , 27 , 35 , 16 , -3 , 13 , -3 , 16 , 38 , 20 ,0 
1939 , 5 , -9 ,-26 ,-10 , 11 ,1 , -1 ,-17 , -5 , -2 , -7 , 42 
1940 , -11 , 12 , 13 ,6 , 12 , 21 , 33 , 12 , 21 , 12 ,8 , 29 
1941 ,12 , 24 , -2 ,6 , 12 , 19 , 35 , 11 ,-16 , 13 ,1 , 10 
1942 ,28 ,3 ,1 ,4 , 10 , 11 , 11 ,8 ,9 ,5 , 19 , 12 
1943 , -20 ,9 ,-14 ,6 , -4 , -9 , 17 ,-22 ,8 , 34 , 13 , 26 
1944 ,37 , 15 , 10 , -4 , -6 , -9 ,7 ,8 , 21 , 24 ,7 ,-11 
1945 , 8 , -6 ,2 , 18 ,-20 ,-22 ,-15 , 26 , 10 ,9 ,0 ,-25 
1946 , 8 ,3 , -6 , 12 ,8 , -9 , 11 , -6 ,5 ,-14 ,0 ,-19 
1947 ,-1 , 13 , 26 , 17 ,7 ,4 , 10 ,8 ,5 , 30 , 27 , -7 
1948 ,26 , -8 ,-21 , -7 ,7 , 14 , -9 ,-14 , -1 ,2 ,-13 ,-10 
1949 , 9 ,-29 ,-11 ,-27 ,-11 ,-16 , -2 ,-12 , -3 ,6 , -4 , -8 
1950 , -24 ,-28 , -6 ,-18 ,-18 , -7 , -8 ,-29 ,-12 ,-14 ,-31 ,-10 
1951 , -32 ,-41 , -9 ,1 , 11 , -8 , -7 , 14 ,4 , 11 ,8 , 20 
1952 ,15 , 18 ,-10 ,1 , -6 , -4 , 12 , 15 , 18 ,4 ,-14 ,0 
1953 ,15 , 12 , 20 , 14 ,3 ,9 ,3 , 16 , 12 ,9 ,7 , 22 
1954 , -23 , -3 , -6 , -9 ,-14 ,-14 ,-21 ,-14 ,-14 ,6 , 24 , -6 
1955 ,27 , -4 ,-31 ,-13 ,-11 ,-12 , -8 , 16 , -8 ,6 ,-19 ,-24 
1956 , -18 ,-26 ,-28 ,-22 ,-22 , -5 , -6 ,-29 , -6 ,-17 ,-16 ,-13 
1957 , -10 , -1 , -1 , 13 ,9 , 18 , -6 , 14 , 14 ,2 , 18 , 22 
1958 ,41 , 25 , 20 , 13 , 11 ,-14 , 14 , -7 , -5 , 12 , 11 , -4 
1959 , 8 ,8 , 25 , 13 ,0 , 11 ,9 ,1 ,-13 , -5 , -7 , 12 
1960 , 8 , 28 ,-44 ,-20 ,-13 , -4 ,-10 , 11 ,7 , 13 , -8 , 20 
1961 , 9 , 22 ,4 , 10 , 24 , 11 ,0 ,5 , 15 , 16 ,9 ,-12 
1962 , 8 , 21 , 10 , 12 ,-12 ,9 ,-11 , -8 ,5 ,5 , 10 ,1 
1963 , 0 , 24 ,-21 ,-20 ,-12 ,0 ,9 , 17 , 26 ,6 ,3 , -1 
1964 ,-6 ,-15 ,-29 ,-38 ,-39 ,-13 , -8 ,-29 ,-38 ,-33 ,-21 ,-33 
1965 ,-3 ,-19 ,-10 ,-30 ,-12 ,-13 ,-27 , -8 ,-20 , -8 ,-13 ,-19 
1966 , -24 , -6 , 14 ,-12 ,-10 , -6 , 12 ,-10 , -5 ,-25 , -7 , -7 
1967 ,-7 ,-28 ,2 , -7 , 11 ,-15 ,5 ,0 ,3 , 16 ,3 , -1 
1968 , -20 ,-17 , 28 ,-10 ,-14 , -7 ,-11 , -8 ,-25 ,6 , -9 ,-22 
1969 , -17 ,-27 ,-14 , 12 , 10 ,7 , -8 , -8 ,1 ,7 ,8 , 33 
1970 , 7 , 27 ,8 ,5 , -8 ,9 ,7 ,-10 , 15 ,6 ,3 ,-12 
1971 ,-5 ,-15 ,-23 , -8 ,-11 ,-24 , -9 ,5 ,0 , -5 ,-13 ,-12 
1972 , -34 ,-34 , -9 , -8 , -4 ,6 ,3 , 17 ,4 ,-10 , -9 , 10 
1973 ,22 , 32 , 34 , 35 , 30 , 24 , 19 ,5 ,8 , 17 ,7 , -5 
1974 ,-8 ,-26 , -5 ,-12 , -2 , -1 , -1 , 11 ,-15 , -9 ,-11 , -6 
1975 , 4 ,6 , 14 ,1 , 26 ,2 ,1 ,-27 , -6 , -8 ,-13 ,-24 
1976 ,-8 ,-13 ,-37 ,-27 ,-27 ,-22 ,-22 ,-26 ,-19 ,-40 ,-22 , -7 
1977 , 7 , 20 , 24 , 26 , 29 , 27 , 23 , 26 ,-14 , -8 , 16 ,7 
1978 , 6 , 13 , 19 , 20 , 14 , -4 , 13 ,-20 ,9 , -3 ,6 ,4 
1979 ,12 ,-15 , 18 , 18 , -6 , 14 , -2 ,8 , 18 , 19 , 24 , 46 
1980 ,28 , 34 , 36 , 40 , 44 , 17 , 27 , 22 , 27 , 14 , 25 , 14 
1981 ,56 , 50 , 60 , 44 , 26 , 33 , 51 , 54 , 22 ,7 , 19 , 44 
1982 , 6 , 18 , -9 , -6 , 17 , -5 , 13 , -2 , -1 , -4 ,9 , 32 
1983 ,42 , 34 , 38 , 32 , 45 , 23 , 19 , 45 , 47 , 22 , 27 , 14 
1984 ,18 ,6 , 30 ,8 , 42 , -9 , 16 , 22 , 19 , 13 ,2 , -6 
1985 ,23 , -5 , 20 , 10 , 10 , 17 , -2 , 32 , 18 ,6 ,0 ,8 
1986 ,29 , 45 , 30 , 32 , 26 , 10 , 11 , 17 ,2 ,5 ,4 , 12 
1987 ,37 , 49 , 18 , 34 , 21 , 47 , 51 , 12 , 28 , 30 , 28 , 49 
1988 ,59 , 39 , 52 , 39 , 54 , 53 , 36 , 43 , 44 , 45 ,6 , 27 
1989 ,14 , 35 , 35 , 28 ,9 ,7 , 38 , 40 , 45 , 32 , 13 , 27 
1990 ,44 , 31 , 75 , 55 , 46 , 37 , 65 , 40 , 19 , 50 , 55 , 45 
1991 ,42 , 52 , 34 , 62 , 32 , 61 , 55 , 48 , 50 , 24 , 23 , 24 
1992 ,44 , 33 , 41 , 14 , 19 , 23 ,0 ,8 ,-12 , -1 ,-10 , 13 
1993 ,28 , 29 , 29 , 22 , 21 , 18 , 26 , 18 ,0 , 14 ,4 , -1 
1994 ,32 ,1 , 20 , 45 , 21 , 54 , 32 , 20 , 40 , 35 , 33 , 31 
1995 ,45 , 78 , 42 , 44 ,9 , 41 , 56 , 50 , 32 , 57 , 42 , 28 
1996 ,34 , 43 , 36 , 31 , 24 , 19 , 48 , 62 , 33 , 23 , 39 , 37 
1997 ,35 , 39 , 48 , 25 , 29 , 54 , 17 , 34 , 30 , 41 , 52 , 49 
1998 ,55 ,101 , 68 , 67 , 82 , 87 , 84 , 76 , 46 , 57 , 53 , 64 
1999 ,51 , 69 , 30 , 21 , 34 , 50 , 52 , 43 , 44 , 43 , 38 , 34 
2000 ,14 , 61 , 50 , 60 , 38 , 53 , 46 , 47 , 38 , 18 , 33 , 32 
2001 ,48 , 51 , 57 , 42 , 58 , 54 , 58 , 57 , 58 , 48 , 73 , 63 
2002 ,83 , 80 ,102 , 71 , 72 , 53 , 75 , 57 , 63 , 55 , 58 , 45 
2003 ,78 , 63 , 56 , 57 , 74 , 53 , 55 , 75 , 71 , 76 , 55 , 74 
2004 ,59 , 80 , 76 , 64 , 40 , 51 , 20 , 55 , 51 , 72 , 77 , 63 
2005 ,87 , 81 , 86 , 75 , 65 , 72 , 69 , 65 , 85 , 88 , 78 , 77 
2006 ,60 , 73 , 69 , 59 , 40 , 64 , 54 , 71 , 65 , 72 , 75 , 81 
2007 , 109 , 78 , 77 , 84 , 80 , 53 , 65 , 74 , 69 , 72 , 62 , 60 
2008 ,38 , 35 , 82 , 52 , 47 , 42 , 65 , 34 , 69 , 64 , 74 , 62 
2009 ,68 , 70 , 59 , 68 , 70 , 75 , 74 , 79 , 87 , 67 , 76 , 66 
2010 ,90 , 96 ,106 , 87 , 88 , 82 , 70 , 74 , 81
